년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Apr-08,108,14.1,3.8,28
May-08,108,17.7,8.1,28.5
Jun-08,108,21.5,13.7,29.6
Jul-08,108,25.1,20.2,32.9
Aug-08,108,25.3,16.3,35.4
Sep-08,108,22,10.3,32
Oct-08,108,16.1,5.6,28.3
Nov-08,108,7.6,-7.2,18.4
Dec-08,108,1.1,-13.1,13.3
Jan-09,108,-2,-11.4,12.2
Feb-09,108,2.9,-8.6,16.1
Mar-09,108,6,-3.3,22.2
Apr-09,108,12.7,2.2,25.8
May-09,108,19.1,9.8,31
Jun-09,108,22.4,14.3,32.4
Jul-09,108,24.3,18.7,32.4
Aug-09,108,25.7,16.4,34.4
Sep-09,108,21.8,14.4,29.9
Oct-09,108,16,6.2,26.4
Nov-09,108,6.9,-4.3,21.8
Dec-09,108,-1,-12.9,10.1
Jan-10,108,-4.5,-15.3,8.4
Feb-10,108,1.4,-10.8,17.9
Mar-10,108,4.3,-4,14.2
Apr-10,108,9.5,1.1,20.7
May-10,108,17.2,5.8,28.6
Jun-10,108,23.4,12.1,32.7
Jul-10,108,25.8,21,32.3
Aug-10,108,26.5,19.9,33.8
Sep-10,108,21.8,8.4,31.4
Oct-10,108,14.5,0.7,24.2
Nov-10,108,6.5,-5.2,17.4
Dec-10,108,-1.3,-15.1,13.5
Jan-11,108,-7.2,-17.8,0.3
Feb-11,108,1.2,-9.2,13.2
Mar-11,108,3.6,-5.5,16.8
Apr-11,108,10.7,4.3,19
May-11,108,17.9,8.5,31.2
Jun-11,108,22,14.4,32.9
Jul-11,108,24.6,18.9,34.1
Aug-11,108,25.8,18.1,34.1
Sep-11,108,21.8,10.3,32.4
Oct-11,108,14.2,3.1,23.4
Nov-11,108,10.7,-5.5,25.9
Dec-11,108,-0.9,-10.6,9.1
Jan-12,108,-2.8,-12.2,8.4
Feb-12,108,-2,-17.1,12.1
Mar-12,108,5.1,-5.7,16.2
Apr-12,108,12.3,0.6,29.4
May-12,108,19.7,12,29.3
Jun-12,108,24.1,16.3,33.5
Jul-12,108,25.4,18.5,33.2
Aug-12,108,27.1,18.7,36.7
Sep-12,108,21,12,29.5
Oct-12,108,15.3,2.8,26
Nov-12,108,5.5,-3,15.7
Dec-12,108,-4.1,-14.5,8.3
Jan-13,108,-3.4,-16.4,11.5
Feb-13,108,-1.2,-15.8,13.9
Mar-13,108,5.1,-4.4,23.8
Apr-13,108,10,1.3,21.6
May-13,108,18.2,7.9,31.8
Jun-13,108,24.4,16.3,32.6
Jul-13,108,25.5,20.5,31.3
Aug-13,108,27.7,21.1,33.9
Sep-13,108,21.8,10.9,31.1
Oct-13,108,15.8,4.3,28.1
Nov-13,108,6.2,-6.4,20.7
Dec-13,108,-0.2,-9.8,11
Jan-14,108,-0.7,-10.5,8.2
Feb-14,108,1.9,-10.5,16.4
Mar-14,108,7.9,-4.6,23.8
Apr-14,108,14,2.3,26.2
May-14,108,18.9,6.8,33.3
Jun-14,108,23.1,17.3,31.1
Jul-14,108,26.1,19.1,34.4
Aug-14,108,25.2,18.3,35.8
Sep-14,108,22.1,14.9,31.3
Oct-14,108,15.6,2.7,29
Nov-14,108,9,-3.1,22.9
Dec-14,108,-2.9,-13.2,7.9
Jan-15,108,-0.9,-9.8,9
Feb-15,108,1,-13,13
Mar-15,108,6.3,-6.9,21.9
Apr-15,108,13.3,3.5,28.3
May-15,108,18.9,8.3,32.2
Jun-15,108,23.6,15.6,34.9
Jul-15,108,25.8,18.2,36
Aug-15,108,26.3,18.9,34.4
Sep-15,108,22.4,14.2,31
Oct-15,108,15.5,1.1,26.6
Nov-15,108,8.9,-7.3,21
Dec-15,108,1.6,-9.5,12.2
Jan-16,108,-3.2,-18,9.5
Feb-16,108,0.2,-10,14.4
Mar-16,108,7,-7.5,21.4
Apr-16,108,14.1,5.1,29.6
May-16,108,19.6,8.9,31.9
Jun-16,108,23.6,17.1,32.2
Jul-16,108,26.2,19.8,34.1
Aug-16,108,28,16.1,36.6
Sep-16,108,23.1,14.3,31.1
Oct-16,108,16.1,0.7,29
Nov-16,108,6.8,-6.2,18.6
Dec-16,108,1.2,-9.8,13.6
Jan-17,108,-1.8,-12.6,11.4
Feb-17,108,-0.2,-9.3,12.3
Mar-17,108,6.3,-5.3,18.9
Apr-17,108,13.9,3.1,27.8
May-17,108,19.5,10,30.3
Jun-17,108,23.3,14.5,34.1
Jul-17,108,26.9,21.9,35.4
Aug-17,108,25.9,16.1,35.3
Sep-17,108,22.1,11.2,31.4
Oct-17,108,16.4,2.5,29.4
Nov-17,108,5.6,-6.6,18.4
Dec-17,108,-1.9,-12.3,8.7
Jan-18,108,-4,-17.8,8.7
Feb-18,108,-1.6,-13.4,10.4
Mar-18,108,8.1,-6.7,22.1
Apr-18,108,13,0.1,26.3
May-18,108,18.2,6.9,29.6
Jun-18,108,23.1,16.3,32.9
Jul-18,108,27.8,17.7,38.3
Aug-18,108,28.8,20.2,39.6
Sep-18,108,21.5,10.8,30.9
Oct-18,108,13.1,0.7,25.6
Nov-18,108,7.8,-3.1,19.4
Dec-18,108,-0.6,-14.4,13.5
Jan-19,108,-0.9,-10.1,8.5
Feb-19,108,1,-10.2,14.5
Mar-19,108,7.1,-1.7,17.6
Apr-19,108,12.1,0.3,28.2
May-19,108,19.4,8.4,33.4
Jun-19,108,22.5,14.1,32.8
Jul-19,108,25.9,19.3,36.1
Aug-19,108,27.2,18.5,36.8
Sep-19,108,22.6,13.6,30.5
Oct-19,108,16.4,4.7,28.2
Nov-19,108,7.6,-4.6,22.1
Dec-19,108,1.4,-10.9,12.9
Jan-20,108,1.6,-6.5,11.9
Feb-20,108,2.5,-11.8,15.6
Mar-20,108,7.7,-2.8,20.6
Apr-20,108,11.1,1.9,23.8
May-20,108,18,9.2,30
Jun-20,108,23.9,14.8,35.4
Jul-20,108,24.1,17.2,32.9
Aug-20,108,26.5,21.5,34.5
Sep-20,108,21.4,13.6,29.5
Oct-20,108,14.3,3.2,23.6
Nov-20,108,8,-3.6,20
Dec-20,108,-0.3,-12.9,11.4
Jan-21,108,-2.4,-18.6,13.9
Feb-21,108,2.7,-10.6,17.4
Mar-21,108,9,-1.2,22.9
Apr-21,108,14.2,3.1,28.2
May-21,108,17.1,7.3,30.8
Jun-21,108,22.8,13.3,31.6
Jul-21,108,28.1,19.6,36.5
Aug-21,108,25.9,18.1,33.7
Sep-21,108,22.6,16,30.3
Oct-21,108,15.6,1.3,28.8
Nov-21,108,8.2,-3.7,21.3
Dec-21,108,0.6,-15.5,13.3
Jan-22,108,-2.2,-11.3,8.4
Feb-22,108,-1.1,-10.7,11.5
Mar-22,108,7.7,-3,19.5
Apr-22,108,14.8,3.5,28.7
May-22,108,19.1,7.9,30.7
Jun-22,108,23.3,14.9,32.7
Jul-22,108,27.3,20.8,36.1
Aug-22,108,25.7,16.1,32.9
Sep-22,108,22.4,12.3,32.5
Oct-22,108,,14.1,27.6
